ip,hostname,is_shelly,generation,device_type,model,name,mac,firmware,auth_required,raw_source,notes
10.107.1.23,shelly1pmg4-a085e3bbbb8c,True,Gen1,,S4SW-001P16EU,None,A085E3BBBB8C,,False,shelly,
10.107.1.35,shelly1pmg4-a085e3bc76f8,True,Gen1,,S4SW-001P16EU,None,A085E3BC76F8,,False,shelly,
10.107.1.21,shelly1g4-ccba97c89350,True,Gen1,,S4SW-001X16EU,None,CCBA97C89350,,False,shelly,
10.107.1.33,shelly1g4-a085e3bcdf24,True,Gen1,,S4SW-001X16EU,None,A085E3BCDF24,,False,shelly,
10.107.1.56,shelly1g4-a085e3c16eec,True,Gen1,,S4SW-001X16EU,None,A085E3C16EEC,,False,shelly,
10.107.1.52,shelly1pmg4-a085e3bcfb30,True,Gen1,,S4SW-001P16EU,None,A085E3BCFB30,,False,shelly,
10.107.1.24,shelly1pmg4-a085e3bcfb14,True,Gen1,,S4SW-001P16EU,None,A085E3BCFB14,,False,shelly,
10.107.1.48,shelly1pmg4-a085e3bcfb2c,True,Gen1,,S4SW-001P16EU,None,A085E3BCFB2C,,False,shelly,
10.107.1.72,shelly1pmg4-a085e3bcfafc,True,Gen1,,S4SW-001P16EU,None,A085E3BCFAFC,,False,shelly,
10.107.1.70,shelly1pmg4-a085e3bbbd40,True,Gen1,,S4SW-001P16EU,None,A085E3BBBD40,,False,shelly,
10.107.1.75,shelly1g4-ccba97c89b84,True,Gen1,,S4SW-001X16EU,None,CCBA97C89B84,,False,shelly,
10.107.1.78,shelly1pmg4-a085e3bbd280,True,Gen1,,S4SW-001P16EU,None,A085E3BBD280,,False,shelly,
10.107.1.77,shelly1g4-ccba97c888c8,True,Gen1,,S4SW-001X16EU,None,CCBA97C888C8,,False,shelly,
10.107.1.43,shelly1g4-a085e3bd87d0,True,Gen1,,S4SW-001X16EU,None,A085E3BD87D0,,False,shelly,
10.107.1.86,shelly1g4-ccba97c89790,True,Gen1,,S4SW-001X16EU,None,CCBA97C89790,,False,shelly,
10.107.1.90,shelly1g4-a085e3c16c94,True,Gen1,,S4SW-001X16EU,None,A085E3C16C94,,False,shelly,
10.107.1.98,shelly1pmg4-a085e3bd8f10,True,Gen1,,S4SW-001P16EU,None,A085E3BD8F10,,False,shelly,
10.107.1.118,shelly1g4-a085e3bd7ee0,True,Gen1,,S4SW-001X16EU,None,A085E3BD7EE0,,False,shelly,
10.107.1.124,shelly1pmg4-a085e3bd0210,True,Gen1,,S4SW-001P16EU,None,A085E3BD0210,,False,shelly,
10.107.1.130,shelly1g4-ccba97c89804,True,Gen1,,S4SW-001X16EU,None,CCBA97C89804,,False,shelly,
10.107.1.137,shelly1pmg4-a085e3bddb24,True,Gen1,,S4SW-001P16EU,None,A085E3BDDB24,,False,shelly,
10.107.1.138,shelly1g4-a085e3bd8af0,True,Gen1,,S4SW-001X16EU,None,A085E3BD8AF0,,False,shelly,
10.107.1.140,shelly1g4-a085e3bcd118,True,Gen1,,S4SW-001X16EU,None,A085E3BCD118,,False,shelly,
10.107.1.143,shelly1g4-ccba97c8968c,True,Gen1,,S4SW-001X16EU,None,CCBA97C8968C,,False,shelly,
10.107.1.164,shelly1g4-a085e3bd81d0,True,Gen1,,S4SW-001X16EU,None,A085E3BD81D0,,False,shelly,
10.107.1.168,shelly1g4-ccba97c8856c,True,Gen1,,S4SW-001X16EU,None,CCBA97C8856C,,False,shelly,
10.107.1.184,shelly1g4-a085e3bd81e4,True,Gen1,,S4SW-001X16EU,None,A085E3BD81E4,,False,shelly,
10.107.1.180,shelly1pmg4-a085e3bc8c14,True,Gen1,,S4SW-001P16EU,None,A085E3BC8C14,,False,shelly,
10.107.1.179,shelly1pmg4-a085e3bbe1a4,True,Gen1,,S4SW-001P16EU,None,A085E3BBE1A4,,False,shelly,
10.107.1.192,shelly1g4-ccba97c8a17c,True,Gen1,,S4SW-001X16EU,None,CCBA97C8A17C,,False,shelly,
10.107.1.196,shelly1g4-ccba97c8a044,True,Gen1,,S4SW-001X16EU,None,CCBA97C8A044,,False,shelly,
10.107.1.191,shelly1g4-a085e3c18bb4,True,Gen1,,S4SW-001X16EU,None,A085E3C18BB4,,False,shelly,
10.107.1.195,shelly1g4-a085e3c1913c,True,Gen1,,S4SW-001X16EU,None,A085E3C1913C,,False,shelly,
10.107.1.190,shelly1g4-a085e3c197b0,True,Gen1,,S4SW-001X16EU,None,A085E3C197B0,,False,shelly,
10.107.1.203,shelly1g4-ccba97c8cbf8,True,Gen1,,S4SW-001X16EU,None,CCBA97C8CBF8,,False,shelly,
10.107.1.207,shelly1g4-a085e3c17150,True,Gen1,,S4SW-001X16EU,None,A085E3C17150,,False,shelly,
10.107.1.204,shelly1g4-a085e3bcd294,True,Gen1,,S4SW-001X16EU,None,A085E3BCD294,,False,shelly,
10.107.1.222,shelly1pmg4-a085e3bc7444,True,Gen1,,S4SW-001P16EU,None,A085E3BC7444,,False,shelly,
10.107.1.221,shelly1pmg4-a085e3bdd5f4,True,Gen1,,S4SW-001P16EU,None,A085E3BDD5F4,,False,shelly,
10.107.1.223,shelly1g4-a085e3bcd2a8,True,Gen1,,S4SW-001X16EU,None,A085E3BCD2A8,,False,shelly,
10.107.1.231,shelly1g4-a085e3bd891c,True,Gen1,,S4SW-001X16EU,None,A085E3BD891C,,False,shelly,
10.107.1.228,shelly1pmg4-a085e3bc7c48,True,Gen1,,S4SW-001P16EU,None,A085E3BC7C48,,False,shelly,
10.107.1.227,shelly1pmg4-a085e3bdd904,True,Gen1,,S4SW-001P16EU,None,A085E3BDD904,,False,shelly,
10.107.1.232,shelly1pmg4-a085e3bc5718,True,Gen1,,S4SW-001P16EU,None,A085E3BC5718,,False,shelly,
10.107.1.251,shelly1pmg4-a085e3bbb77c,True,Gen1,,S4SW-001P16EU,None,A085E3BBB77C,,False,shelly,
